Name,tc,pc,w,L,M,N,c
"2,3,3-TRIMETHYL-1-BUTENE",531.00,31.40,0.2388,0.1049,0.8357,2.7955,-9.8785
"2,3,3-TRIMETHYLPENTANE",573.50,28.20,0.2903,0.1800,0.8446,2.6387,-4.5693
"2,3,4-TRIMETHYLPENTANE",566.40,27.30,0.3153,0.2824,0.8252,2.0435,-2.2329
"2,3-DICHLORO-1-PROPANOL",647.00,45.00,0.6992,1.3533,0.9129,1.7708,-8.9205
"2,3-DICHLOROPROPENE",578.00,43.80,0.1945,0.0406,0.8265,2.9742,6.1339
"2,3-DIHYDROFURAN",524.00,55.00,0.2255,0.1510,0.8492,2.5617,-0.8833
"2,3-DIMETHYL-1,3-BUTADIENE",526.00,35.20,0.2142,0.2264,0.7546,1.5603,5.3374
"2,3-DIMETHYL-1-BUTENE",501.00,33.20,0.2333,0.8147,0.9154,0.8496,-5.1328
"2,3-DIMETHYL-1-HEXENE",561.00,27.60,0.3249,0.1351,0.8215,2.8605,-3.6263
"2,3-DIMETHYL-2-BUTENE",528.00,33.20,0.2237,1.3278,1.0000,0.5079,6.9190
"2,3-DIMETHYLBUTANE",500.00,31.50,0.2493,0.1764,0.8468,2.4776,-4.2332
"2,3-DIMETHYLHEPTANE",588.80,23.90,0.3914,0.2746,0.8359,2.4506,2.0146
"2,3-DIMETHYLHEXANE",563.50,26.30,0.3455,0.1927,0.8380,2.7531,0.5986
"2,3-DIMETHYLOCTANE",613.10,21.73,0.4245,0.2004,0.8276,2.9514,9.3296
"2,3-DIMETHYLPENTANE",537.30,29.10,0.2964,0.1995,0.8391,2.4877,-0.7161
"2,3-PENTADIENE",497.00,38.00,0.2184,1.3416,0.9983,0.4967,7.4307
"2,3-XYLENOL",722.95,49.00,0.5157,0.4456,0.8685,2.2775,-30.7400
"2,4,4-TRIMETHYL-1-PENTENE",550.00,26.80,0.3011,0.1906,0.8452,2.6273,-1.8613
"2,4,4-TRIMETHYL-2-PENTENE",555.00,26.80,0.2971,1.4216,1.0000,0.5384,1.5994
"2,4,4-TRIMETHYLHEXANE",581.00,24.60,0.3522,0.2529,0.8509,2.5352,-4.6109
"2,4,6-TRIMETHYLPYRIDINE",653.00,33.30,0.3749,1.3005,1.0000,0.6742,12.3066
"2,4-DIAMINOTOLUENE",804.00,43.80,0.5794,1.3575,0.9999,0.8490,11.3868
"2,4-DICHLOROBENZOTRIFLUORIDE",646.00,28.10,0.4344,0.1935,0.8217,2.9750,N.A.
"2,4-DICHLOROTOLUENE",705.00,35.90,0.3590,0.4156,0.8030,1.6502,9.5090
"2,4-DIMETHYL-3-ETHYLPENTANE",591.00,25.30,0.3530,0.2061,0.8397,2.7220,-4.0010
"2,4-DIMETHYLHEXANE",553.50,25.60,0.3436,0.1866,0.8370,2.7720,-3.0817
"2,4-DIMETHYLOCTANE",600.00,21.70,0.4345,0.1773,0.8215,3.0781,-2.2276
"2,4-DIMETHYLPENTANE",519.80,27.40,0.3022,0.3032,0.8225,1.9015,-1.0012
"2,4-TOLUENE DIISOCYANATE",725.00,30.40,0.6582,0.6118,0.8829,2.0939,12.9350
"2,4-XYLENOL",707.65,44.00,0.5136,0.3686,0.8511,2.5320,-10.5206
"2,5-DIHYDROFURAN",542.00,55.00,0.2197,0.8033,0.7397,0.7532,3.4689
"2,5-DIMETHYL-2,4-HEXADIENE",597.00,27.40,0.3218,1.2918,0.9931,0.6776,20.2276
"2,5-DIMETHYLHEXANE",550.00,24.90,0.3576,0.2212,0.8332,2.5813,1.1718
"2,5-DIMETHYLOCTANE",603.00,21.70,0.4403,0.2385,0.8334,2.8375,3.4791
"2,5-XYLENOL",707.05,49.00,0.5638,0.5632,0.8877,2.0374,-27.3913
"2,6-DIMETHYL-4-HEPTANOL",603.00,25.50,0.8022,0.3438,0.8177,3.1618,-20.0985
"2,6-DIMETHYLHEPTANE",579.00,23.00,0.3927,0.9898,0.8617,0.9063,4.7933
"2,6-DIMETHYLNAPHTHALENE",777.00,31.70,0.4177,0.9554,0.9174,0.9948,N.A.
"2,6-DIMETHYLOCTANE",606.00,21.70,0.4386,0.1910,0.8195,2.9786,0.3095
"2,6-DIMETHYLPYRIDINE",623.75,37.50,0.3453,0.5156,0.8137,1.4164,6.1232
"2,6-TOLUENE DIISOCYANATE",749.00,29.00,0.4338,1.8841,0.7016,0.5503,38.0496
"2,6-XYLENOL",701.05,43.00,0.4554,0.3969,0.8673,2.2935,-27.4959
"2,7-DIMETHYLNAPHTHALENE",775.00,32.30,0.4477,0.7810,0.8727,1.2342,N.A.
"2,7-DIMETHYLOCTANE",604.00,21.30,0.4420,0.3686,0.8172,2.0934,6.8185
2-ACETOACETOXY ETHYL METHACRYLATE,724.20,22.57,0.8156,0.5646,0.8082,2.3303,N.A.
2-AMINOETHOXYETHANOL,735.00,59.00,0.5598,0.2635,0.7890,2.7388,-23.1755
2-BROMOBUTANE,567.00,46.30,0.2684,0.1457,0.8400,2.7177,-16.5668
2-BROMOPROPANE,532.00,55.10,0.2432,0.3535,0.9024,1.8759,-32.3125
2-BUTANOL,535.90,41.88,0.5808,0.3504,0.6226,1.7899,3.1977
2-BUTOXYETHANOL,633.90,32.70,0.5143,1.6130,0.9906,0.8714,-0.7669
"2-BUTYL-2-ETHYL-1,3-PROPANEDIOL",732.00,25.97,0.6907,0.2002,0.7672,3.3149,N.A.
"2-CHLORO-1,1,1,2-TETRAFLUOROETHANE",395.65,36.60,0.2877,0.2009,0.8502,2.5462,-3.0777
"2-CHLORO-1,1-DIFLUOROETHYLENE",400.55,44.58,0.2116,1.7609,0.9824,0.3610,1.2601
2-CHLOROETHANOL,585.00,59.20,0.6578,0.6213,0.8855,2.0633,5.9661
2-CHLOROPROPENE,478.00,47.10,0.1515,0.1147,0.8542,2.4495,-3.9256
2-ETHOXYETHANOL,569.00,42.40,0.7582,0.2659,0.8174,3.0265,3.4719
2-ETHOXYETHYL ACETATE,607.30,31.66,0.5522,0.3920,0.8505,2.5411,-4.9883
2-ETHYL BUTYRIC ACID,655.00,34.10,0.6326,0.2438,0.8112,3.3152,2.4275
2-ETHYL-1-BUTENE,511.00,33.00,0.2523,1.2248,1.0000,0.5841,-0.9749
2-ETHYL-1-HEXANOL,640.60,28.00,0.5559,0.1313,0.7981,3.6589,3.3533
2-ETHYL-1-HEXENE,569.00,26.70,0.3577,1.1931,1.0000,0.7229,3.5038
